age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,previous_contacted,previous_success,age_group,total_contacts,contact_pressure,high_contact_flag,never_contacted_before,recent_contact,pdays_bucket,prev_success,prev_contact_flag,engagement_score
30,unemployed,married,primary,0,0.2822108748337826,0,0,cellular,19,oct,-0.8881104581394328,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
33,services,married,secondary,0,1.209846208059658,1,1,cellular,11,may,0.166966617606134,1,339,4,0,1,0,Adult,5,0.2,0,0,0,never,0,1,0
35,management,single,tertiary,0,0.1304285669735395,1,0,cellular,16,apr,-0.0230293886169544,1,330,1,0,1,0,Adult,2,0.5,0,0,0,never,0,1,0
30,management,married,tertiary,0,0.1749358008772805,1,1,unknown,3,jun,0.0563701323260883,4,-1,0,0,0,0,Young,4,4.0,1,1,0,never,0,0,0
59,blue-collar,married,secondary,0,-0.4453824591762855,1,0,unknown,5,may,0.196908044747213,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
35,management,single,tertiary,0,-0.094046722515176,0,0,cellular,23,feb,-0.3112190724285923,2,176,3,0,1,0,Adult,5,0.5,0,0,0,cold,0,1,0
36,self-employed,married,tertiary,0,-0.2783510467421553,1,0,cellular,14,may,0.6696277260560338,1,330,2,0,1,0,Adult,3,0.3333333333333333,0,0,0,never,0,1,0
39,technician,married,secondary,0,-0.3553208485157795,1,0,cellular,6,may,-0.2396048880027354,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
41,entrepreneur,married,tertiary,0,-0.3185629444700698,1,0,unknown,14,may,-1.1913132092997414,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
43,services,married,primary,0,-0.6358206515304677,1,1,cellular,17,apr,0.568810872781051,1,147,2,0,1,0,Adult,3,0.3333333333333333,0,0,0,cold,0,1,0
39,services,married,secondary,0,2.451614738302607,1,0,unknown,20,may,0.4105083944284218,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
43,admin.,married,secondary,0,-0.2981832714063715,1,0,cellular,17,apr,-0.5376410345457233,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
36,technician,married,tertiary,0,0.0432786966002796,0,0,cellular,13,aug,0.6237356791567796,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
20,student,single,secondary,0,-0.1933364535434979,0,0,cellular,30,apr,0.3591521380290576,1,-1,0,1,0,0,Young,1,1.0,0,1,0,never,0,0,0
31,blue-collar,married,secondary,0,-0.2545304275973169,1,1,cellular,29,jan,-0.773523441960531,1,241,1,0,1,0,Adult,2,0.5,0,0,0,never,0,1,0
40,management,married,tertiary,0,-0.331693910872162,0,1,cellular,29,aug,0.0001648543239203,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
56,technician,married,secondary,0,1.0008319929418632,0,0,cellular,27,aug,0.2595224922130293,5,-1,0,0,0,0,Senior,5,5.0,1,1,0,never,0,0,0
37,admin.,single,tertiary,0,0.4582053022054557,1,0,cellular,20,apr,-0.5287723594454672,1,152,2,0,1,0,Adult,3,0.3333333333333333,0,0,0,cold,0,1,0
25,blue-collar,single,primary,0,-1.000686772465302,1,0,unknown,23,may,0.3102730614722437,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
31,services,married,secondary,0,-0.3631126068480588,0,0,cellular,7,jul,-0.2606543479399819,1,152,1,0,1,0,Adult,2,0.5,0,0,0,cold,0,1,0
38,management,divorced,unknown,0,-0.4453824591762855,1,0,cellular,18,nov,-0.699643978509556,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
42,management,divorced,tertiary,0,-0.4317232310553262,0,0,cellular,19,nov,-0.3186161345319812,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
44,services,single,secondary,0,-0.3769828097078703,0,0,unknown,12,jun,-0.5737961200764227,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
