age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,previous_contacted,previous_success,age_group
30,unemployed,married,primary,0,0.28221087483378265,0,0,cellular,19,oct,-0.8881104581394328,1,-1,0,0,0,0,Young
33,services,married,secondary,0,1.209846208059658,1,1,cellular,11,may,0.16696661760613404,1,339,4,0,1,0,Adult
35,management,single,tertiary,0,0.1304285669735395,1,0,cellular,16,apr,-0.023029388616954444,1,330,1,0,1,0,Adult
30,management,married,tertiary,0,0.17493580087728053,1,1,unknown,3,jun,0.05637013232608835,4,-1,0,0,0,0,Young
59,blue-collar,married,secondary,0,-0.44538245917628555,1,0,unknown,5,may,0.196908044747213,1,-1,0,0,0,0,Senior
35,management,single,tertiary,0,-0.09404672251517603,0,0,cellular,23,feb,-0.3112190724285923,2,176,3,0,1,0,Adult
36,self-employed,married,tertiary,0,-0.27835104674215533,1,0,cellular,14,may,0.6696277260560338,1,330,2,0,1,0,Adult
39,technician,married,secondary,0,-0.35532084851577955,1,0,cellular,6,may,-0.2396048880027354,2,-1,0,0,0,0,Adult
41,entrepreneur,married,tertiary,0,-0.3185629444700698,1,0,unknown,14,may,-1.1913132092997414,2,-1,0,0,0,0,Adult
43,services,married,primary,0,-0.6358206515304677,1,1,cellular,17,apr,0.568810872781051,1,147,2,0,1,0,Adult
39,services,married,secondary,0,2.451614738302607,1,0,unknown,20,may,0.41050839442842185,1,-1,0,0,0,0,Adult
43,admin.,married,secondary,0,-0.2981832714063715,1,0,cellular,17,apr,-0.5376410345457233,2,-1,0,0,0,0,Adult
36,technician,married,tertiary,0,0.0432786966002796,0,0,cellular,13,aug,0.6237356791567796,2,-1,0,0,0,0,Adult
20,student,single,secondary,0,-0.19333645354349793,0,0,cellular,30,apr,0.3591521380290576,1,-1,0,1,0,0,Young
31,blue-collar,married,secondary,0,-0.2545304275973169,1,1,cellular,29,jan,-0.773523441960531,1,241,1,0,1,0,Adult
40,management,married,tertiary,0,-0.331693910872162,0,1,cellular,29,aug,0.00016485432392033167,2,-1,0,0,0,0,Adult
56,technician,married,secondary,0,1.0008319929418632,0,0,cellular,27,aug,0.2595224922130293,5,-1,0,0,0,0,Senior
37,admin.,single,tertiary,0,0.45820530220545574,1,0,cellular,20,apr,-0.5287723594454672,1,152,2,0,1,0,Adult
25,blue-collar,single,primary,0,-1.0006867724653021,1,0,unknown,23,may,0.3102730614722437,1,-1,0,0,0,0,Young
31,services,married,secondary,0,-0.3631126068480588,0,0,cellular,7,jul,-0.2606543479399819,1,152,1,0,1,0,Adult
38,management,divorced,unknown,0,-0.44538245917628555,1,0,cellular,18,nov,-0.699643978509556,2,-1,0,0,0,0,Adult
42,management,divorced,tertiary,0,-0.43172323105532623,0,0,cellular,19,nov,-0.3186161345319812,3,-1,0,0,0,0,Adult
44,services,single,secondary,0,-0.37698280970787035,0,0,unknown,12,jun,-0.5737961200764227,2,-1,0,0,0,0,Adult
44,entrepreneur,married,secondary,0,-0.384124613586899,0,0,cellular,7,jul,-0.43534359717162113,2,-1,0,0,0,0,Adult
26,housemaid,married,tertiary,0,-0.17623994984142985,0,0,cellular,30,jan,-0.12030467543427656,3,-1,0,0,0,0,Young
41,management,married,tertiary,0,1.51948787543629,0,0,cellular,20,nov,-0.040707266991857755,2,-1,0,0,0,0,Adult
55,blue-collar,married,primary,0,-0.1418625176907637,1,0,unknown,5,may,0.2966240642574004,1,-1,0,0,0,0,Senior
67,retired,married,unknown,0,-0.1141988774119846,0,0,telephone,17,aug,-0.48539601454507775,1,105,2,0,1,0,Old
56,self-employed,married,secondary,0,-0.07957048019761656,0,1,cellular,30,jul,-0.253597825533527,2,-1,0,0,0,0,Senior
53,admin.,married,secondary,0,-0.37752681097514695,0,1,cellular,21,aug,-0.9500838443668655,2,-1,0,0,0,0,Senior
68,retired,divorced,secondary,0,1.0350862837257373,0,0,telephone,14,jul,1.8989141995976078,2,-1,0,1,0,0,Old
31,technician,married,secondary,0,-0.34312061531255483,0,0,cellular,27,aug,-0.864247546266032,3,-1,0,0,0,0,Adult
59,management,married,secondary,0,-0.41413204791140856,0,0,cellular,21,nov,-1.5030954552784113,1,-1,0,0,0,0,Senior
32,management,single,tertiary,0,0.5288868848187076,1,0,cellular,26,aug,1.988936481045262,6,-1,0,1,0,0,Adult
49,technician,married,tertiary,0,0.08919810796947268,0,0,cellular,13,aug,0.7140484420010977,3,-1,0,1,0,0,Senior
42,admin.,divorced,secondary,0,0.290352995308047,1,0,unknown,14,may,-0.24658150321405217,1,-1,0,0,0,0,Adult
78,retired,divorced,primary,0,-0.31472479041193413,0,0,telephone,22,oct,-0.6894656500691742,1,-1,0,1,0,0,Old
32,blue-collar,married,secondary,0,0.38342078815342656,1,0,cellular,14,nov,-0.3794680549767789,1,-1,0,1,0,0,Adult
33,management,married,secondary,0,0.9598680496651262,1,0,cellular,6,may,1.6846062696789412,1,342,2,1,1,0,Adult
23,services,single,tertiary,0,-0.25320034272068775,1,0,unknown,30,may,-2.2283126168333864,18,-1,0,0,0,0,Young
38,management,single,tertiary,0,3.1064074962548296,1,0,unknown,17,nov,1.3860128886787515,2,101,3,0,1,0,Adult
36,management,single,tertiary,0,-0.1721032567876348,0,0,cellular,11,aug,-0.6016593854785363,2,-1,0,0,0,0,Adult
52,blue-collar,married,secondary,0,0.0462191773608559,1,0,cellular,13,may,0.7505593061755048,1,-1,0,0,0,0,Senior
32,technician,married,tertiary,0,-0.23868646809019708,1,0,cellular,13,may,0.08894734565866859,3,-1,0,0,0,0,Adult
